"Lat","Lon","source","grid_id","X","Y"
22.6404,120.4193,"gbif",12200,13405015.1576825,2588588.64070359
23.31404,120.117048,"gbif",25684,13371368.6189512,2670040.90149334
23.438837,120.158766,"gbif",28140,13376012.6454681,2685175.52604607
24.715801,121.812548,"gbif",53571,13560110.8155912,2840877.34603932
25.120264,121.469994,"gbif",61736,13521977.878742,2890523.59169684
32.8568,120.9239,"gbif",222858,13461186.9727367,3876311.94724438
22.519561,113.977485,"gbif",9460,12687915.592098,2574020.1451563
23.55407,120.151408,"gbif",30185,13375193.5566549,2699162.98118547
23.56256,120.16519,"gbif",30594,13376727.761877,2700194.01659077
23.078522,120.18233,"gbif",20779,13378635.7779492,2641517.311279
23.5414,120.150665,"gbif",30184,13375110.8462732,2697624.44559794
24.02748,120.37864,"gbif",39602,13400488.9071868,2756757.02469208
22.709536,121.08962,"gbif",13866,13479634.838751,2596929.5206145
22.45974,114.03684,"gbif",8235,12694522.960474,2566812.77089588
23.372488,120.16281,"gbif",26913,13376462.8214889,2677127.34717447
23.340738,120.16125,"gbif",26095,13376289.1630832,2673277.47597367
24.4304,118.24637,"gbif",47687,13163125.696553,2805942.61764286
23.24809,120.18856,"gbif",24460,13379329.2983768,2662048.62586367
23.358416,120.16768,"gbif",26504,13377004.947409,2675420.92207806
23.035791,120.09876,"gbif",19957,13369332.8081036,2636347.5278217
24.82462,121.7966,"gbif",55616,13558335.492352,2854218.46840524
22.959015,120.18379,"gbif",18734,13378798.3044057,2627062.94704148
22.894787,120.193,"gbif",17098,13379823.5569159,2619299.85417294
23.32689,120.170685,"gbif",25686,13377339.4624789,2671598.61423221
22.443796,120.49099,"gbif",8523,13412995.6519774,2564892.32578145
22.513021,114.06573,"gbif",9464,12697738.980563,2573232.03888576
24.46801,118.30366,"gbif",48507,13169503.1901806,2810541.7550974
23.348492,120.188255,"gbif",26096,13379295.3459321,2674217.60832677
23.414711,120.1714,"gbif",27731,13377419.0559148,2682248.55898814
23.147072,120.10716,"gbif",22412,13370267.8918262,2649814.22429168
23.081715,120.048645,"gbif",21182,13363754.0318225,2641903.68032592
23.097464,120.096115,"gbif",21184,13369038.3680504,2643809.52275394
23.785261,120.229454,"gbif",35096,13383881.5976333,2727262.97403383
23.29662,120.156204,"gbif",25277,13375727.4449327,2667929.44100853
24.050608,120.395096,"gbif",40420,13402320.7807273,2759576.12816692
22.49418,114.03655,"gbif",9053,12694490.6778217,2570961.80227609
22.884901,120.19819,"gbif",17099,13380401.3050731,2618105.28237058
23.016943,120.137375,"gbif",19550,13373631.4102406,2634067.73546507
23.012316,120.16288,"gbif",19551,13376470.6138532,2633508.11741406
23.187746,120.11073,"gbif",23230,13370665.3024084,2654739.1858741
23.28384,120.12036,"gbif",24866,13371737.3091047,2666380.56599785
23.53657,120.18801,"gbif",30186,13379268.0726569,2697037.97105839
23.586557,120.156136,"gbif",31003,13375719.8752073,2703108.60041075
23.26106,120.12633,"gbif",24457,13372401.8864647,2663620.10730721
23.133095,120.09814,"gbif",22002,13369263.7900193,2648122.18150243
23.392954,120.16708,"gbif",27322,13376938.1557146,2679609.45674131
22.751642,120.45022,"gbif",14656,13408457.1563378,2602011.44227909
23.874828,120.288025,"gbif",36735,13390401.6915286,2738162.75733527
23.081696,120.07464,"gbif",21183,13366647.7819856,2641901.3812033
23.04495,120.1105,"gbif",20367,13370639.6989255,2637455.48558757
23.381386,120.20162,"gbif",26915,13380783.1309266,2678206.4465066
23.244242,120.11318,"gbif",24048,13370938.0351608,2661582.42083007
23.252796,120.1441,"gbif",24458,13374380.0338161,2662618.80030409
30.920507,121.97316,"gbif",181596,13577990.0616465,3622429.76155965
24.777422,121.805176,"gbif",54798,13559290.1683051,2848430.59535779
23.517332,120.18021,"gbif",29777,13378399.7806287,2694702.24325227
23.503532,120.12151,"gbif",29365,13371865.3265191,2693026.96518285
23.413721,120.18295,"gbif",27732,13378704.7960335,2682128.46356149
23.601826,120.16197,"gbif",31412,13376369.3131166,2704963.39217226
23.220835,120.20493,"gbif",23643,13381151.5984411,2658746.83173231
23.035835,120.166695,"gbif",19960,13376895.2977106,2636352.8502906
23.489323,120.17014,"gbif",28958,13377278.7933564,2691302.2190996
23.20552,120.10296,"gbif",23638,13369800.3499649,2656891.79901597
23.531618,120.21021,"gbif",29778,13381739.3653525,2696436.70523296
23.29281,120.10045,"gbif",25274,13369520.938043,2667467.67163078
23.319883,120.15067,"gbif",25685,13375111.4028707,2670749.18753323
23.295532,120.14438,"gbif",25276,13374411.2032736,2667797.57480869
23.061407,120.099915,"gbif",20775,13369461.3821154,2639446.46660905
23.11722,120.10627,"gbif",21594,13370168.8174794,2646200.58244291
23.695908,120.19254,"gbif",33049,13379772.3499502,2716396.7136975
23.03494,120.114525,"gbif",19958,13371087.7598759,2636244.58677654
23.500145,120.16618,"gbif",29367,13376837.9681729,2692615.820497
23.364443,120.17398,"gbif",26505,13377706.260201,2676151.75722044
22.471626,120.468544,"gbif",8931,13410496.9746871,2568244.57610736
23.059254,120.14644,"gbif",20368,13374640.5214246,2639185.98110878
23.569275,120.14618,"gbif",30593,13374611.578357,2701009.54113532
23.93702,121.60608,"gbif",38020,13537126.9029661,2745735.59796712
28.559357,121.60605,"gbif",132090,13537123.5633814,3319680.70931822
23.53264,120.1638,"gbif",29776,13376573.0277848,2696560.79337825
23.446762,120.20345,"gbif",28142,13380986.8455947,2686137.10385216
23.279442,120.17434,"gbif",24869,13377746.3352177,2665847.58377465
22.814085,120.21111,"gbif",15872,13381839.5528942,2609550.79332763
23.127281,120.116394,"gbif",22003,13371295.8160042,2647418.39593717
22.53049,114.090675,"gbif",9874,12700515.8452609,2575337.23351964
23.066084,120.14966,"gbif",20777,13374998.970185,2640012.33823054
22.225672,113.556786,"gbif",3715,12641083.5936407,2538641.50414779
23.493502,120.12208,"gbif",28956,13371928.7786289,2691809.46377759
32.8804,120.93544,"gbif",223676,13462471.5996605,3879439.80239566
23.452702,120.179955,"gbif",28550,13378371.3941585,2686857.87002248
22.482761,114.01163,"gbif",9052,12691716.5961111,2569586.02620846
24.803747,121.80181,"gbif",55207,13558915.4668991,2851658.54850777
22.908964,120.24581,"gbif",17510,13385702.3392247,2621013.07958865
23.178823,120.133575,"gbif",22822,13373208.3961755,2653658.62719004
23.093884,120.117966,"gbif",21185,13371470.8102437,2643376.2746232
