"Lat","Lon","source","X","Y"
30.2624,114.33899,"zggn",12728158.1446172,3537323.70572961
25.89344,119.58859,"zggn",13312540.9434856,2985889.00590813
22.52489,113.9695,"zggn",12687026.705964,2574662.34678839
26.43804,119.62213,"zggn",13316274.5992068,3053436.00649901
22.52747,114.00233,"zggn",12690681.3248467,2574973.27334786
30.1766,114.37572,"zggn",12732246.909514,3526270.38491131
22.6159,113.64651,"zggn",12651071.6236327,2585633.85779679
22.47003,113.55666,"zggn",12641069.5673849,2568052.3124377
22.47003,113.55666,"zggn",12641069.5673849,2568052.3124377
30.88746,121.98088,"zggn",13578849.4481154,3618142.29057205
22.8636,115.53596,"zggn",12861404.235512,2615531.6781305
22.8636,115.53596,"zggn",12861404.235512,2615531.6781305
26.86602,120.1523,"zggn",13375292.8536406,3106742.66749574
26.86602,120.1523,"zggn",13375292.8536406,3106742.66749574
22.50205,114.11679,"zggn",12703422.9537629,2571910.05626865
22.52482,113.96969,"zggn",12687047.8566672,2574653.91087738
22.5049,113.96052,"zggn",12686027.0569367,2572253.46523993
34.83367,119.20737,"zggn",13270103.7272054,4141300.47192918
29.50492,112.81262,"zggn",12558243.4134551,3440069.34965604
29.14131,115.74248,"zggn",12884393.9367507,3393643.95512525
29.20518,116.0357,"zggn",12917035.0378411,3401786.86086719
29.50492,112.81262,"zggn",12558243.4134551,3440069.34965604
29.50492,112.81262,"zggn",12558243.4134551,3440069.34965604
22.5273,114.00248,"zggn",12690698.0227704,2574952.7857602
22.5273,114.00248,"zggn",12690698.0227704,2574952.7857602
22.52482,113.96969,"zggn",12687047.8566672,2574653.91087738
22.52643,114.00806,"zggn",12691319.185529,2574847.93791211
22.53183,114.0159,"zggn",12692191.9303368,2575498.7283302
29.14131,115.74248,"zggn",12884393.9367507,3393643.95512525
22.51533,114.04705,"zggn",12695659.532475,2573510.28193257
25.52685,119.47883,"zggn",13300322.5161761,2940596.32670736
30.75937,114.15545,"zggn",12707726.565277,3601538.02948619
30.75937,114.15545,"zggn",12707726.565277,3601538.02948619
28.70095,115.99598,"zggn",12912613.4276667,3337638.45302059
30.75937,114.15545,"zggn",12707726.565277,3601538.02948619
33.60852,120.51558,"zggn",13415732.998256,3976356.17908923
25.53146,119.40356,"zggn",13291943.4981041,2941165.03474265
22.51247,114.12543,"zggn",12704384.7541634,2573165.6420331
26.02313,119.62905,"zggn",13317044.9300831,3001945.97514337
22.51247,114.12543,"zggn",12704384.7541634,2573165.6420331
22.52482,113.96969,"zggn",12687047.8566672,2574653.91087738
29.14131,115.74248,"zggn",12884393.9367507,3393643.95512525
22.47344,114.02052,"zggn",12692706.2263843,2568463.10404578
22.47344,114.02052,"zggn",12692706.2263843,2568463.10404578
28.69213,115.99175,"zggn",12912142.5462207,3336519.13506353
34.76446,119.48155,"zggn",13300625.3051911,4131918.09000349
22.47003,113.55666,"zggn",12641069.5673849,2568052.3124377
25.02319,121.58054,"zggn",13534283.8031712,2878593.26224125
22.47003,113.55666,"zggn",12641069.5673849,2568052.3124377
26.86246,104.28475,"zggn",11608925.2675038,3106298.42762313
30.75937,114.15545,"zggn",12707726.565277,3601538.02948619
30.5498,114.06248,"zggn",12697377.192218,3574419.09114966
22.52497,113.13949,"zggn",12594630.4154107,2574671.98783479
25.96932,119.52945,"zggn",13305957.5088001,2995281.59004054
25.89344,119.58859,"zggn",13312540.9434856,2985889.00590813
22.5273,114.00248,"zggn",12690698.0227704,2574952.7857602
31.38198,104.81662,"zggn",11668132.7650721,3682456.51229748
22.52903,114.00704,"zggn",12691205.6396484,2575161.2782708
22.49587,113.47617,"zggn",12632109.4615709,2571165.42533241
22.45859,113.55323,"zggn",12640687.7415315,2566674.24670386
22.13872,113.07784,"zggn",12587767.5688033,2528188.3944678
31.38833,104.81884,"zggn",11668379.8943416,3683284.54387653
22.13872,113.07784,"zggn",12587767.5688033,2528188.3944678
31.38833,104.81884,"zggn",11668379.8943416,3683284.54387653
31.49063,104.75923,"zggn",11661744.1394954,3696632.05771375
31.1197,104.4029,"zggn",11622077.6653411,3648304.24343038
31.13852,104.41152,"zggn",11623037.2393517,3650751.69870854
31.1493,104.4012,"zggn",11621888.4222067,3652153.80737709
22.47003,113.55666,"zggn",12641069.5673849,2568052.3124377
22.47003,113.55666,"zggn",12641069.5673849,2568052.3124377
22.49587,113.47617,"zggn",12632109.4615709,2571165.42533241
22.47003,113.55666,"zggn",12641069.5673849,2568052.3124377
22.47003,113.55666,"zggn",12641069.5673849,2568052.3124377
29.1455,115.98779,"zggn",12911701.7210371,3394177.99081789
29.1455,115.98779,"zggn",12911701.7210371,3394177.99081789
30.58108,114.3162,"zggn",12725621.173422,3578463.08177189
31.37239,104.81672,"zggn",11668143.8970211,3681206.095111
32.56756,121.0495,"zggn",13475168.7007804,3838044.45482567
22.49587,113.47617,"zggn",12632109.4615709,2571165.42533241
29.77789,115.73444,"zggn",12883498.9280447,3475031.50453166
22.47003,113.55666,"zggn",12641069.5673849,2568052.3124377
22.47003,113.55666,"zggn",12641069.5673849,2568052.3124377
22.47003,113.55666,"zggn",12641069.5673849,2568052.3124377
22.61637,113.6462,"zggn",12651037.1145905,2585690.53643356
22.47003,113.55666,"zggn",12641069.5673849,2568052.3124377
22.61637,113.6462,"zggn",12651037.1145905,2585690.53643356
22.51533,114.04705,"zggn",12695659.532475,2573510.28193257
22.61637,113.6462,"zggn",12651037.1145905,2585690.53643356
26.03932,119.62071,"zggn",13316116.5255298,3003951.70940032
26.02481,119.65011,"zggn",13319389.3185592,3002154.09281995
32.75214,120.86051,"zggn",13454130.4302153,3862450.71761335
22.41809,113.65417,"zggn",12651924.3309321,2561796.51844207
31.4613,104.7635,"zggn",11662219.4737211,3692803.75821136
22.52482,113.96969,"zggn",12687047.8566672,2574653.91087738
29.14131,115.74248,"zggn",12884393.9367507,3393643.95512525
22.46972,113.55679,"zggn",12641084.0389187,2568014.9682475
29.36398,112.92167,"zggn",12570382.8039261,3422054.60351401
29.132,115.96338,"zggn",12908984.4122669,3392457.42868989
29.14131,115.74248,"zggn",12884393.9367507,3393643.95512525
29.70833,116.00581,"zggn",12913707.6982612,3466113.21033062
30.2914,113.845,"zggn",12673167.4293602,3541061.85931367
29.16539,115.99204,"zggn",12912174.828873,3396713.36431738
22.49587,113.47617,"zggn",12632109.4615709,2571165.42533241
22.61637,113.6462,"zggn",12651037.1145905,2585690.53643356
29.39163,113.02459,"zggn",12581839.8059185,3425586.81622723
31.37015,104.8205,"zggn",11668564.6846963,3680914.04524931
32.75214,120.86051,"zggn",13454130.4302153,3862450.71761335
31.12448,104.41093,"zggn",11622971.5608521,3648925.81466529
24.5544,118.59165,"zggn",13201562.0903341,2821111.16036845
22.6159,113.64651,"zggn",12651071.6236327,2585633.85779679
22.6159,113.64651,"zggn",12651071.6236327,2585633.85779679
28.61908,121.55114,"zggn",13531011.0101419,3327252.21436532
22.52871,114.00794,"zggn",12691305.8271901,2575122.7129853
31.24016,121.50381,"zggn",13525742.2586427,3663977.92476694
22.47003,113.55666,"zggn",12641069.5673849,2568052.3124377
22.52794,114.0233,"zggn",12693015.6945687,2575029.91563321
22.49587,113.47617,"zggn",12632109.4615709,2571165.42533241
22.5273,114.00248,"zggn",12690698.0227704,2574952.7857602
22.47003,113.55666,"zggn",12641069.5673849,2568052.3124377
30.20557,114.43141,"zggn",12738446.2919563,3530001.41318811
30.54053,114.0929,"zggn",12700763.5311279,3573220.88265059
30.54053,114.0929,"zggn",12700763.5311279,3573220.88265059
22.52482,113.96969,"zggn",12687047.8566672,2574653.91087738
22.52482,113.96969,"zggn",12687047.8566672,2574653.91087738
26.08895,119.70577,"zggn",13325585.3614167,3010101.95926565
26.03638,119.63142,"zggn",13317308.7572762,3003587.46037237
22.47003,113.55666,"zggn",12641069.5673849,2568052.3124377
22.51589,113.95593,"zggn",12685516.1004739,2573577.76470576
24.79686,118.67237,"zggn",13210547.799631,2850814.00319974
22.13872,113.07784,"zggn",12587767.5688033,2528188.3944678
22.47003,113.55666,"zggn",12641069.5673849,2568052.3124377
29.4421,112.99295,"zggn",12578317.6572298,3432036.69932203
29.51903,112.83692,"zggn",12560948.4770813,3441874.24829686
29.4421,112.99295,"zggn",12578317.6572298,3432036.69932203
29.46729,113.01303,"zggn",12580552.9526049,3435257.08953335
30.45961,111.81407,"zggn",12447085.3359234,3562766.29109382
24.66503,118.44288,"zggn",13185001.0896888,2834656.85454696
29.51903,112.83692,"zggn",12560948.4770813,3441874.24829686
22.51247,114.12543,"zggn",12704384.7541634,2573165.6420331
30.75937,114.15545,"zggn",12707726.565277,3601538.02948619
30.75937,114.15545,"zggn",12707726.565277,3601538.02948619
32.23849,118.99842,"zggn",13246843.5196041,3794657.01955797
30.75937,114.15545,"zggn",12707726.565277,3601538.02948619
22.47003,113.55666,"zggn",12641069.5673849,2568052.3124377
38.80287,117.41643,"zggn",13070737.1983641,4693473.59913797
38.74332,117.3613,"zggn",13064600.1548366,4684970.7730115
24.66503,118.44288,"zggn",13185001.0896888,2834656.85454696
22.51247,114.12543,"zggn",12704384.7541634,2573165.6420331
22.52482,113.96969,"zggn",12687047.8566672,2574653.91087738
30.75937,114.15545,"zggn",12707726.565277,3601538.02948619
22.52489,113.9695,"zggn",12687026.705964,2574662.34678839
30.33746,114.40673,"zggn",12735698.9269235,3547001.35117655
38.74332,117.3613,"zggn",13064600.1548366,4684970.7730115
30.30595,121.35022,"zggn",13508644.6980517,3542937.79753241
38.99622,117.75119,"zggn",13108002.511102,4721130.13447628
26.03638,119.63142,"zggn",13317308.7572762,3003587.46037237
26.03638,119.63142,"zggn",13317308.7572762,3003587.46037237
28.61908,121.55114,"zggn",13531011.0101419,3327252.21436532
39.00951,117.71711,"zggn",13104208.7428558,4723033.89004287
22.52824,114.00897,"zggn",12691420.4862656,2575066.0703842
22.52794,114.0233,"zggn",12693015.6945687,2575029.91563321
22.53183,114.0159,"zggn",12692191.9303368,2575498.7283302
25.01797,118.38898,"zggn",13179000.969135,2877951.99540877
24.66503,118.44288,"zggn",13185001.0896888,2834656.85454696
22.52824,114.00897,"zggn",12691420.4862656,2575066.0703842
24.66503,118.44288,"zggn",13185001.0896888,2834656.85454696
26.86246,104.28475,"zggn",11608925.2675038,3106298.42762313
38.80287,117.41643,"zggn",13070737.1983641,4693473.59913797
38.80287,117.41643,"zggn",13070737.1983641,4693473.59913797
26.03977,119.61967,"zggn",13316000.7532594,3004007.46260837
30.97263,121.94869,"zggn",13575266.0737068,3629195.13776869
30.97263,121.94869,"zggn",13575266.0737068,3629195.13776869
30.97263,121.94869,"zggn",13575266.0737068,3629195.13776869
25.89341,119.58858,"zggn",13312539.8302907,2985885.29364112
32.76584,120.96967,"zggn",13466282.0658303,3864264.22561872
32.76584,120.96967,"zggn",13466282.0658303,3864264.22561872
32.99828,120.82268,"zggn",13449919.2138786,3895075.66438689
32.99828,120.82268,"zggn",13449919.2138786,3895075.66438689
39.20323,118.35487,"zggn",13175203.8613041,4750824.47592765
39.0897,118.29064,"zggn",13168053.8104104,4734528.48467586
32.76584,120.96967,"zggn",13466282.0658303,3864264.22561872
29.49777,112.81883,"zggn",12558934.7074929,3439154.84431625
40.90784,121.85198,"zggn",13564500.3657522,4998757.57375373
40.41016,115.85559,"zggn",12896985.2843543,4925725.8590203
39.23911,117.98022,"zggn",13133498.0140784,4755980.13261435
32.76695,120.96941,"zggn",13466253.1227627,3864411.17169959
31.30086,121.87667,"zggn",13567248.8439798,3671883.49070666
32.56756,121.0495,"zggn",13475168.7007804,3838044.45482567
38.74332,117.3613,"zggn",13064600.1548366,4684970.7730115
32.56756,121.0495,"zggn",13475168.7007804,3838044.45482567
32.76584,120.96967,"zggn",13466282.0658303,3864264.22561872
32.53756,121.06782,"zggn",13477208.0738517,3834082.4285862
22.60629,113.65204,"zggn",12651687.2204168,2584475.0030241
22.5283,114.02502,"zggn",12693207.1640928,2575073.30134383
24.47294,118.12415,"zggn",13149520.2283883,2811144.7217613
32.76584,120.96967,"zggn",13466282.0658303,3864264.22561872
32.56756,121.0495,"zggn",13475168.7007804,3838044.45482567
32.76584,120.96967,"zggn",13466282.0658303,3864264.22561872
32.76584,120.96967,"zggn",13466282.0658303,3864264.22561872
32.76584,120.96967,"zggn",13466282.0658303,3864264.22561872
31.33816,121.85482,"zggn",13564816.513106,3676743.96737718
31.33816,121.85482,"zggn",13564816.513106,3676743.96737718
22.52482,113.96969,"zggn",12687047.8566672,2574653.91087738
32.76584,120.96967,"zggn",13466282.0658303,3864264.22561872
44.47773,85.93561,"zggn",9566308.34620935,5539672.1106589
44.49605,84.93304,"zggn",9454702.76432474,5542530.73443588
30.88746,121.98088,"zggn",13578849.4481154,3618142.29057205
32.76584,120.96967,"zggn",13466282.0658303,3864264.22561872
36.13654,120.10872,"zggn",13370441.5502319,4319425.36663689
44.03225,114.95277,"zggn",12796483.8216763,5470434.3022314
40.85752,121.72909,"zggn",13550820.3135286,4991348.55692513
43.31259,116.74133,"zggn",12995585.4101295,5359672.9131016
42.65679,115.66797,"zggn",12876099.5214916,5259876.8378972
44.02902,114.95671,"zggn",12796922.42047,5469934.19399691
39.20971,118.84343,"zggn",13229590.1117261,4751755.40292577
34.9304,110.94029,"zggn",12349816.5912581,4154426.80000203
31.33816,121.85482,"zggn",13564816.513106,3676743.96737718
40.90784,121.85198,"zggn",13564500.3657522,4998757.57375373
41.15583,121.96963,"zggn",13577597.103844,5035353.7954893
43.40866,116.68205,"zggn",12988986.3907153,5374382.37706445
44.32333,120.23079,"zggn",13384030.320473,5515615.3472003
43.48499,115.08599,"zggn",12811313.8042398,5386086.05122753
43.48499,115.08599,"zggn",12811313.8042398,5386086.05122753
49.22763,119.73786,"zggn",13329157.6038763,6313574.0760049
