"Lon","Lat","时间","source","...5","grid_id","X","Y"
118.20152,39.24578,"2021/6/27 14:00","GPS",NA,1197446,13158133.0173909,4756938.84655983
117.47849,38.83805,"2021/6/25 11:00","GPS",NA,1135830,13077645.6859627,4698500.10235867
117.40898,38.8012,"2021/6/24 17:00","GPS",NA,1130695,13069907.8681576,4693235.05197733
117.37358,38.77874,"2021/6/24 11:00","GPS",NA,1128127,13065967.1581836,4690027.34993485
117.44923,38.78062,"2021/6/23 17:00","GPS",NA,1128130,13074388.4776621,4690295.80984136
117.48753,38.72618,"2021/6/23 8:00","GPS",NA,1120434,13078652.0141595,4682524.75863688
117.39076,38.65016,"2021/6/22 17:00","GPS",NA,1110166,13067879.6270354,4671683.16455235
117.47394,38.69051,"2021/6/22 11:00","GPS",NA,1115302,13077139.1822796,4677436.2462287
118.88973,38.02008,"2021/6/29 22:00","GPS",NA,1017857,13234744.2041498,4582262.83189654
118.71124,38.06917,"2021/6/26 8:00","GPS",NA,1025547,13214874.7882381,4589201.82749409
118.71622,38.02671,"2021/6/26 6:00","GPS",NA,1017849,13215429.1593022,4583199.72749876
118.70985,38.09449,"2021/6/26 4:00","GPS",NA,1028113,13214720.0541459,4592782.69366878
118.77518,38.06063,"2021/6/26 2:00","GPS",NA,1022983,13221992.5564794,4587994.34253971
118.92921,37.94027,"2021/6/18 22:00","GPS",NA,1005028,13239139.0976463,4570991.39995539
118.95524,37.91249,"2021/6/18 18:00","GPS",NA,1002463,13242036.7439916,4567070.95000442
118.93349,37.93919,"2021/6/18 14:00","GPS",NA,1005029,13239615.5450669,4570838.95737632
119.03007,37.94823,"2021/6/15 4:00","GPS",NA,1007599,13250366.7814877,4572115.02733324
118.95564,37.9123,"2021/6/14 14:00","GPS",NA,1002464,13242081.271788,4567044.14137051
118.88382,37.97008,"2021/6/11 20:00","GPS",NA,1010158,13234086.3059592,4575199.98213799
118.91943,37.95849,"2021/6/11 18:00","GPS",NA,1007594,13238050.3930263,4573563.5005078
118.54392,37.99258,"2021/6/9 0:00","GPS",NA,1012709,13196248.8110386,4578377.66874705
118.84722,37.9248,"2021/6/6 16:00","GPS",NA,1002459,13230012.0125962,4568808.01487912
118.8481,37.93264,"2021/6/6 14:00","GPS",NA,1005025,13230109.9737481,4569914.46935019
117.84422,38.3478,"2021/6/30 22:00","GPS",NA,1063998,13118358.5633305,4628675.4693201
117.83617,38.35304,"2021/6/27 18:00","GPS",NA,1066564,13117462.4414296,4629419.2736098
117.82169,38.33234,"2021/6/27 4:00","GPS",NA,1063997,13115850.5352029,4626481.2763166
117.74571,38.24261,"2021/6/27 2:00","GPS",NA,1048598,13107392.4802925,4613755.38822227
117.7426,38.22521,"2021/6/26 22:00","GPS",NA,1046031,13107046.2766761,4611289.46594168
117.74499,38.22387,"2021/6/26 18:00","GPS",NA,1046032,13107312.3302591,4611099.58604687
117.74213,38.23236,"2021/6/26 16:00","GPS",NA,1048597,13106993.9565154,4612302.69018179
117.80854,38.34266,"2021/6/23 4:00","GPS",NA,1063996,13114386.683899,4627945.9120512
117.45184,38.78038,"2021/6/22 22:00","GPS",NA,1128131,13074679.021533,4690261.53796985
117.43751,38.78967,"2021/6/22 12:00","GPS",NA,1130696,13073083.81323,4691588.22918759
117.4037,38.78447,"2021/6/22 10:00","GPS",NA,1128128,13069320.1012463,4690845.60354714
117.48936,38.60473,"2021/6/21 10:00","GPS",NA,1102472,13078855.7288276,4665209.65543445
117.52093,38.59347,"2021/6/14 2:00","GPS",NA,1099908,13082370.0851519,4663605.80525038
117.46684,38.65295,"2021/6/11 16:00","GPS",NA,1110169,13076348.8138949,4672080.85695913
117.47469,38.6426,"2021/6/9 18:00","GPS",NA,1107604,13077222.6718977,4670605.62424835
117.48794,38.65248,"2021/6/2 4:00","GPS",NA,1110170,13078697.6551507,4672013.86109614
117.50213,38.64559,"2021/6/1 22:00","GPS",NA,1107605,13080277.278725,4671031.78069913
117.47549,38.62049,"2021/5/28 14:00","GPS",NA,1105038,13077311.7274903,4667454.89862373
117.49912,38.66705,"2021/5/21 16:00","GPS",NA,1112737,13079942.2070577,4674090.93728572
117.51832,38.66851,"2021/5/14 20:01","GPS",NA,1112738,13082079.541281,4674299.09587581
117.50119,38.66434,"2021/4/29 18:00","GPS",NA,1110171,13080172.6384037,4673704.57197546
117.49559,38.66766,"2021/4/9 14:01","GPS",NA,1112736,13079549.2492552,4674177.90713931
117.49969,38.6856,"2021/4/5 16:00","GPS",NA,1115303,13080005.6591675,4676736.00770571
117.40392,38.7945,"2021/4/4 20:00","GPS",NA,1130694,13069344.5915342,4692278.06268431
117.38607,38.80909,"2021/4/1 10:00","GPS",NA,1133260,13067357.5386236,4694362.12937453
117.37512,38.7894,"2021/4/1 8:00","GPS",NA,1130693,13066138.5901994,4691549.66844609
117.71156,38.26703,"2021/4/1 0:00","GPS",NA,1053728,13103590.9196819,4617217.17824387
121.70297,40.87191,"2021/6/19 18:00","GPS",NA,1438806,13547912.648429,4993466.73692906
121.75298,40.84958,"2021/6/19 16:26","GPS",NA,1436242,13553479.7361636,4990180.00136051
121.43044,40.91501,"2021/6/18 12:43","GPS",NA,1446492,13517574.7476032,4999813.72906437
118.84077,37.94345,"2021/6/7 12:00","GPS",NA,1007590,13229294.0018805,4571440.27166993
121.67512,41.0458,"2021/6/20 8:03","GPS",NA,1467031,13544812.4006105,5019099.50230609
118.29278,39.23118,"2021/6/27 8:00","GPS",NA,1194884,13168292.0341207,4754840.43088472
118.32542,39.13464,"2021/6/27 4:00","GPS",NA,1179489,13171925.5023002,4740975.98831337
118.68437,38.00006,"2021/5/23 22:01","GPS",NA,1015281,13211883.6335205,4579434.28886126
118.38159,39.12965,"2021/5/16 10:01","GPS",NA,1179492,13178178.3180981,4740259.87426937
118.42336,39.12174,"2021/5/16 8:00","GPS",NA,1179494,13182828.1332285,4739124.81547911
118.71043,39.20109,"2021/5/15 14:00","GPS",NA,1189771,13214784.6194505,4750517.05902389
118.56744,39.20693,"2021/5/14 6:01","GPS",NA,1189764,13198867.045462,4751356.01323092
118.5746,39.20798,"2021/5/14 4:00","GPS",NA,1192331,13199664.0930161,4751506.85999875
118.57214,39.20837,"2021/5/13 22:01","GPS",NA,1192330,13199390.2470687,4751562.88937262
118.73378,39.20272,"2021/5/13 2:01","GPS",NA,1189772,13217383.9295606,4750751.21217067
119.08713,37.17449,"2021/6/7 22:01","GPS",NA,894697,13256718.6716324,4463456.43127017
119.09711,37.15905,"2021/6/7 12:00","GPS",NA,892132,13257829.6401505,4461299.55443745
119.06771,37.18614,"2021/6/7 6:01","GPS",NA,897263,13254556.8471212,4465084.15925193
119.06738,37.1835,"2021/6/7 4:01","GPS",NA,897262,13254520.1116892,4464715.27872278
119.03773,37.20074,"2021/6/6 0:00","GPS",NA,899827,13251219.4887872,4467124.41325492
118.9314,37.47389,"2021/6/5 22:00","GPS",NA,938312,13239382.8873311,4505368.40484481
118.81206,37.50128,"2021/6/5 8:00","GPS",NA,943439,13226098.0192999,4509210.99800462
118.45563,38.07322,"2021/6/5 4:00","GPS",NA,1025535,13186420.4131964,4589774.51307748
118.49716,38.0179,"2021/6/4 22:01","GPS",NA,1017839,13191043.5116491,4581954.79122704
118.39791,38.0836,"2021/6/4 20:00","GPS",NA,1025533,13179995.0521878,4591242.42982202
118.32728,39.13313,"2021/5/4 22:00","GPS",NA,1179490,13172132.5565531,4740759.28311803
121.55791,40.8628,"2021/6/29 22:00","GPS",NA,1438799,13531764.6430946,4992125.70919891
121.40119,40.92945,"2021/6/22 20:00","GPS",NA,1449056,13514318.6524975,5001941.1175945
121.57388,40.85946,"2021/6/21 22:00","GPS",NA,1438800,13533542.4153625,4991634.09431137
121.42236,40.91634,"2021/6/21 6:00","GPS",NA,1446491,13516675.2861175,5000009.65331309
121.40205,40.92259,"2021/6/20 2:00","GPS",NA,1446490,13514414.3872595,5000930.40276104
