设备,IMEI,时间,东西,经度,南北,纬度,速度,航向,高度,温度,电压,运动量,卫星,HDOP,VDOP,精度,有效性
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-14 22:00:30,东经,118.6708500,北纬,37.9586200,0,315,6,32.7,3.797,1039,5,1.8,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-14 20:00:42,东经,118.6709400,北纬,37.9586300,0,339,5,33.07,3.811,1375,8,1.1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-14 18:01:12,东经,118.6710900,北纬,37.9585300,0,282,12,34.63,3.829,1452,6,2.6,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-14 16:00:42,东经,118.6709000,北纬,37.9586300,0,346,1,32.71,3.823,1877,5,2.3,1.8,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-14 14:00:45,东经,118.6710100,北纬,37.9586300,0,20,1,32.86,3.823,2927,6,1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-14 12:00:42,东经,118.6720800,北纬,37.9594000,1.7,172,8,32.72,3.806,2224,6,1.9,0.8,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-14 10:02:01,东经,118.6718700,北纬,37.9590100,0,307,5,36.8,3.803,3082,5,1.3,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-14 08:01:13,东经,118.6724700,北纬,37.9596100,0,250,43,38.05,3.796,3305,5,1.6,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-14 06:00:42,东经,118.6723600,北纬,37.9598500,0,174,12,34.77,3.804,2384,7,1.1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-14 04:00:43,东经,118.6645300,北纬,37.9520600,0,272,9,35.95,3.812,2741,7,1.6,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-14 02:00:49,东经,118.6646800,北纬,37.9521700,2,125,1,37.02,3.82,2753,5,1.6,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-14 00:01:42,东经,118.6646900,北纬,37.9519600,0,187,7,37.46,3.845,2798,8,1.3,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-13 20:02:38,东经,118.6725600,北纬,37.9598200,0,162,2,39.61,3.915,3981,7,1.1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-13 18:00:42,东经,118.6725500,北纬,37.9596600,0,153,2,41.56,3.921,2511,8,1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-13 16:00:42,东经,118.6723400,北纬,37.9598300,0,85,2,43.12,3.913,2247,9,0.9,1.4,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-13 14:00:26,东经,118.6722300,北纬,37.9598800,2,254,9,45.16,3.898,1416,4,2.5,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-13 12:00:42,东经,118.6725500,北纬,37.9597000,0,126,2,41.35,3.88,927,7,1.3,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-13 10:00:42,东经,118.6727000,北纬,37.9593700,0,275,5,38.75,3.815,2223,6,2,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-13 08:00:43,东经,118.6725800,北纬,37.9597200,2.3,309,4,35.87,3.799,2914,7,1.4,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-13 06:01:08,东经,118.6725800,北纬,37.9595000,0,127,3,34.56,3.81,322,6,1.1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-13 04:00:42,东经,118.6721500,北纬,37.9598000,0,201,7,34.83,3.823,2212,6,1.1,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-13 02:00:52,东经,118.6645500,北纬,37.9520800,1.8,282,0,35.26,3.833,2258,6,1.8,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-13 00:00:30,东经,118.6646200,北纬,37.9521000,2.8,45,0,36.32,3.841,2313,6,2.3,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-12 22:00:42,东经,118.6723700,北纬,37.9597400,0,256,8,36.55,3.852,3136,10,1.1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-12 18:00:52,东经,118.6724800,北纬,37.9594500,4.3,247,23,41.67,3.909,2008,4,1.8,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-12 16:00:22,东经,118.6645700,北纬,37.9520300,1.6,3,8,41.74,3.896,2081,7,1.1,1.4,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-12 14:00:42,东经,118.6725200,北纬,37.9598600,0,113,2,45.4,3.887,2321,15,1.1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-12 12:01:12,东经,118.6724500,北纬,37.9597200,0,142,1,41.74,3.871,2101,8,1.1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-12 10:00:42,东经,118.6724900,北纬,37.9598000,3.9,35,14,36.24,3.863,2674,5,1.3,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-12 08:00:44,东经,118.6724600,北纬,37.9596800,0,117,16,35.28,3.874,2151,9,1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-12 06:00:42,东经,118.6723400,北纬,37.9598200,0,68,6,35.57,3.887,3068,7,1.8,0.8,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-12 04:01:13,东经,118.6644400,北纬,37.9520900,0,218,2,36.91,3.913,2292,6,1.1,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-12 02:00:47,东经,118.6717100,北纬,37.9601200,2.2,294,42,34.16,3.927,939,6,2.3,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-12 00:00:22,东经,118.6726100,北纬,37.9597200,0,169,7,33.72,3.939,2023,5,1.7,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-11 22:00:42,东经,118.6724600,北纬,37.9598600,0,69,5,35.34,3.979,2940,9,1.1,0.7,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-11 20:01:11,东经,118.6724000,北纬,37.9599700,0,327,12,39.53,4.018,2295,5,1.7,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-11 18:00:43,东经,118.6646200,北纬,37.9512600,0,80,33,41.56,3.972,2715,6,1.6,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-11 16:00:37,东经,118.6725900,北纬,37.9594600,2.2,20,7,41.91,3.959,1604,6,1.2,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-11 14:00:31,东经,118.6733400,北纬,37.9587700,0,338,65,44.88,3.944,1485,8,1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-11 12:00:43,东经,118.6723800,北纬,37.9597400,0,7,1,45.06,3.961,1446,8,1.1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-11 10:00:44,东经,118.6726500,北纬,37.9594300,3.4,75,6,40.31,3.917,1987,6,1.1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-11 06:00:42,东经,118.6721800,北纬,37.9597900,0,100,2,32.47,3.864,2792,12,0.8,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-11 04:00:43,东经,118.6644400,北纬,37.9521200,0,145,3,33.37,3.877,2933,5,1.1,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-11 02:00:53,东经,118.6722000,北纬,37.9597800,0,242,6,33.18,3.902,1185,5,1.6,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-11 00:00:33,东经,118.6715800,北纬,37.9589500,2.1,253,19,33.68,3.914,2526,5,1.7,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-10 22:00:42,东经,118.6723400,北纬,37.9598100,0,9,4,35.42,3.928,2969,9,1,0.7,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-10 18:01:24,东经,118.6722000,北纬,37.9598100,2.8,21,4,39.83,3.972,2070,4,2.8,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-10 16:00:32,东经,118.6708600,北纬,37.9534500,3.3,306,6,36.76,3.955,2015,6,1.9,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-10 14:00:34,东经,118.6722900,北纬,37.9600600,0,189,5,39.79,3.969,1791,9,0.9,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-10 12:01:36,东经,118.6727800,北纬,37.9590700,2.1,131,8,33.91,3.951,1332,8,1.3,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-10 10:01:23,东经,118.6726500,北纬,37.9596900,0,248,56,34.92,3.956,1418,4,1.3,1,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-10 08:00:51,东经,118.6726300,北纬,37.9596300,0,236,15,32.49,3.991,2268,6,1.6,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-10 06:00:51,东经,118.6728400,北纬,37.9591100,0,325,38,37.15,4.015,1614,5,1.5,4.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-10 02:01:20,东经,118.6693500,北纬,37.9590200,0,5,0,36.2,4.077,1307,5,1.3,3,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-10 00:00:45,东经,118.6726200,北纬,37.9602100,0,180,6,33.65,4.097,1957,8,1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-09 22:01:05,东经,118.6695400,北纬,37.9591800,0,232,4,34.57,4.124,2030,7,1,1.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-09 18:00:53,东经,118.6726800,北纬,37.9610400,4,54,7,38.44,4.16,2464,5,1.7,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-09 16:00:32,东经,118.6785000,北纬,37.9652900,0,351,34,37.88,4.161,2297,4,2.3,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-09 14:00:43,东经,118.6894000,北纬,37.9689800,0,341,1,39.19,4.115,1558,7,1.3,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-09 12:01:12,东经,118.6917700,北纬,37.9703400,0,7,0,36.76,4.069,1364,8,1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-09 10:00:43,东经,118.6917100,北纬,37.9704000,0,253,8,37.21,4.041,1228,8,1.4,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-09 08:01:05,东经,118.6918500,北纬,37.9703600,0,310,0,33.48,4.02,2683,7,1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-09 06:00:42,东经,118.6919700,北纬,37.9704100,0,325,4,33.31,4.028,844,7,1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-09 04:00:42,东经,118.6919300,北纬,37.9703900,0,152,1,34.74,4.042,2787,6,1.7,0.8,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-09 02:01:30,东经,118.6898200,北纬,37.9871700,0,311,0,38.02,4.072,3095,8,1.1,1.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-08 12:00:42,东经,118.6920200,北纬,37.9704200,1.8,144,0,43.23,4.087,1543,9,1,0.7,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-08 10:00:42,东经,118.6919400,北纬,37.9703400,0,279,3,40.49,4.051,1100,6,1.8,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-08 08:00:42,东经,118.6920100,北纬,37.9704800,0,61,16,35.5,4.017,2617,6,1.2,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-08 06:00:42,东经,118.6645300,北纬,37.9519400,0,75,2,35.23,4.026,1909,7,1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-08 04:00:42,东经,118.6644200,北纬,37.9519900,0,194,8,33.58,4.051,2132,7,0.9,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-08 02:01:13,东经,118.6879400,北纬,37.9893300,2.2,299,0,31.41,4.079,921,6,2.1,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-08 00:00:51,东经,118.6920500,北纬,37.9704100,0,3,9,31.57,4.099,634,6,1.5,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-07 20:01:13,东经,118.6919900,北纬,37.9703400,0,36,1,33.62,4.156,719,4,1.6,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-07 10:00:52,东经,118.6920900,北纬,37.9703100,1.5,10,14,36.76,4.007,1372,6,1.1,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-07 08:01:12,东经,118.6918600,北纬,37.9706500,0,70,128,33.57,4.005,744,4,1.2,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-07 06:01:08,东经,118.6919000,北纬,37.9704300,2.6,316,29,33.55,4.024,140,4,1.2,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-07 04:01:12,东经,118.6919800,北纬,37.9703800,0,228,17,34.01,4.041,176,7,1,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-07 02:01:06,东经,118.6919700,北纬,37.9703100,0,20,8,34.32,4.064,366,5,1.4,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-07 00:00:53,东经,118.6920200,北纬,37.9703400,2.3,99,5,35.35,4.083,646,5,1.7,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-06 22:01:08,东经,118.6918800,北纬,37.9703100,0,95,10,33.63,4.117,480,5,1.6,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-06 20:01:53,东经,118.6919900,北纬,37.9702900,0,325,8,36.95,4.154,1122,6,1.1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-06 18:01:14,东经,118.6919500,北纬,37.9702800,0,226,12,39.86,4.154,1705,7,1.5,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-06 16:00:42,东经,118.6919600,北纬,37.9704300,0,313,5,41.79,4.079,2300,8,1.3,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-06 14:00:38,东经,118.6926800,北纬,37.9696600,1.9,358,156,44.3,4.023,2589,3,2.7,1,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-06 12:01:12,东经,118.6601600,北纬,37.9579500,0,36,151,43.19,3.975,3252,7,1.1,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-06 10:01:08,东经,118.6599600,北纬,37.9573800,0,206,16,42.54,3.991,2521,6,1.1,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-06 06:00:57,东经,118.6708900,北纬,37.9544000,0,317,39,35.27,4.031,1351,5,2.4,5.5,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-06 04:01:07,东经,118.6920300,北纬,37.9704500,0,117,21,30.22,4.055,87,6,1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-06 02:01:13,东经,118.6919900,北纬,37.9703600,0,79,0,32.52,4.086,349,7,0.9,1.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-06 00:00:52,东经,118.6919100,北纬,37.9702300,0,156,25,33.15,4.104,741,5,2.5,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-05 22:01:12,东经,118.6919600,北纬,37.9703700,0,186,4,33.29,4.131,893,7,1.2,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-05 20:00:30,东经,118.6920200,北纬,37.9703800,0,27,9,38.73,4.145,1886,4,1.4,2.3,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-05 18:01:08,东经,118.6920500,北纬,37.9704200,0,12,17,41.28,4.149,2146,9,0.8,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-05 16:00:42,东经,118.6707600,北纬,37.9543000,2,307,10,41.33,4.153,2948,5,3.1,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-05 14:00:42,东经,118.6710500,北纬,37.9541700,1.7,152,7,41.31,4.153,2382,7,1.1,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-05 12:01:12,东经,118.6920200,北纬,37.9702600,3.3,165,11,41.63,4.109,2470,6,1.2,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-05 10:00:42,东经,118.6709400,北纬,37.9541500,0,143,4,40.51,4.032,2764,9,1.1,1.3,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-05 08:00:51,东经,118.6710100,北纬,37.9543900,2.5,116,9,38.58,4.021,3152,7,1.3,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-05 06:00:42,东经,118.6645700,北纬,37.9519000,0,35,2,33.9,4.041,1526,7,1.7,0.8,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-05 04:00:46,东经,118.6919300,北纬,37.9704600,2,30,1,31.68,4.059,83,5,1.7,1,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-05 02:01:08,东经,118.6919300,北纬,37.9704300,0,71,11,31.39,4.082,244,5,1.1,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-05 00:00:29,东经,118.6918600,北纬,37.9703300,0,68,12,31.48,4.096,793,5,1.7,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-04 22:01:08,东经,118.6919200,北纬,37.9703800,0,315,1,32.34,4.121,313,5,1.7,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-04 20:01:07,东经,118.6919800,北纬,37.9703400,0,12,3,35.23,4.165,1472,5,1.1,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-04 18:00:43,东经,118.6706700,北纬,37.9541900,0,0,5,39.07,4.472,1436,9,0.8,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-04 16:00:44,东经,118.6990100,北纬,37.9675300,2.5,108,22,33.26,4.166,2760,6,1.1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-04 14:00:42,东经,118.6709600,北纬,37.9541600,0,153,39,41.47,4.544,1488,5,1.5,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-04 12:00:43,东经,118.6710400,北纬,37.9541500,2.1,88,25,38.38,4.128,2447,6,1.1,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-04 10:00:39,东经,118.6647900,北纬,37.9517000,0,99,0,37.02,4.03,2428,6,1.2,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-04 08:01:08,东经,118.6646300,北纬,37.9517700,0,144,2,36.49,4.023,2872,6,1.3,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-04 06:01:13,东经,118.6647900,北纬,37.9514600,0,342,7,34.75,4.043,1646,6,1.1,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-04 04:00:34,东经,118.6922000,北纬,37.9703900,0,325,17,30.72,4.06,69,5,1.3,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-04 02:01:13,东经,118.6919900,北纬,37.9704200,0,82,15,30.66,4.085,88,8,1.1,1.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-04 00:00:43,东经,118.6920100,北纬,37.9703100,0,169,4,31.01,4.111,265,6,1.2,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-03 22:00:50,东经,118.6920000,北纬,37.9702700,0,65,0,32.54,4.129,212,6,1.3,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-03 20:01:30,东经,118.6919500,北纬,37.9703900,0,88,4,33.6,4.162,927,7,1.1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-03 18:00:51,东经,118.6986600,北纬,37.9671400,0,29,20,30.98,4.161,1593,7,0.9,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-03 16:00:42,东经,118.6920100,北纬,37.9704500,0,174,6,35.87,4.096,2011,8,2.5,0.8,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-03 14:00:26,东经,118.6926700,北纬,37.9698500,3.4,343,134,35.41,4.062,1948,4,4.2,4.3,C,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-03 12:00:42,东经,118.6646100,北纬,37.9518500,0,220,4,34.55,3.988,2678,5,3.3,4.3,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-03 10:01:12,东经,118.6642300,北纬,37.9521300,0,91,13,34.97,3.967,2768,7,1.3,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-03 08:00:52,东经,118.7118800,北纬,37.9367800,0,177,5,32.07,3.989,2671,6,1.3,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-03 06:01:12,东经,118.6646600,北纬,37.9517700,1.9,332,4,36.04,4.018,2220,7,1.4,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-03 04:00:53,东经,118.6919000,北纬,37.9703900,0,25,23,32.25,4.038,509,5,1.7,3.3,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-03 02:01:09,东经,118.6920100,北纬,37.9703200,0,176,3,29.99,4.062,43,7,1,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-03 00:00:23,东经,118.6920200,北纬,37.9704600,1.8,56,18,30.43,4.074,276,5,1.6,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-02 22:01:08,东经,118.6919800,北纬,37.9703200,0,49,8,29.36,4.099,316,6,1.1,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-02 20:00:43,东经,118.6920400,北纬,37.9702100,0,312,15,28.89,4.116,985,6,1.6,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-02 18:00:52,东经,118.6920700,北纬,37.9705300,2.1,303,106,36.57,4.144,1540,4,1.4,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-02 16:00:42,东经,118.6918300,北纬,37.9705800,0,289,1,34.07,4.118,2332,7,1.6,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-02 14:01:09,东经,118.6645700,北纬,37.9521900,0,345,3,41.32,4.148,2751,5,1.4,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-02 12:01:40,东经,118.6653600,北纬,37.9512600,4.1,61,47,39.04,4.106,2555,6,1.3,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-02 10:00:53,东经,118.6649500,北纬,37.9520600,4.1,187,144,37.31,4.029,2529,5,1.3,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-02 08:00:52,东经,118.6609600,北纬,37.9552200,2.1,210,69,34.08,4.038,3048,6,1.2,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-02 06:00:42,东经,118.6926300,北纬,37.9695200,0,139,1,32.29,4.053,317,9,1,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-02 04:01:09,东经,118.6919600,北纬,37.9704200,0,295,8,30.91,4.077,39,8,0.9,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-02 00:00:52,东经,118.6919600,北纬,37.9703600,0,114,12,30.39,4.113,183,4,3.2,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-01 22:00:54,东经,118.6919700,北纬,37.9703900,0,224,1,32.99,4.141,129,6,1.4,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-01 20:00:52,东经,118.6919700,北纬,37.9704400,2.5,84,2,34.47,4.153,1058,6,1,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-01 18:01:14,东经,118.7384000,北纬,37.9654700,0,278,2,33.59,4.163,2048,6,1.3,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-01 14:00:43,东经,118.6622600,北纬,37.9546200,2.3,150,159,37.62,4.026,2918,6,1.6,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-01 12:00:44,东经,118.6618700,北纬,37.9550100,0,274,83,40.16,4.002,2903,6,1,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-01 10:00:43,东经,118.6620100,北纬,37.9545300,1.5,42,2,38.15,4.012,2660,4,1.8,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-01 08:00:52,东经,118.6648300,北纬,37.9521000,1.5,158,11,32.98,4.025,3311,5,1.9,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-01 06:00:52,东经,118.6646200,北纬,37.9518400,2.5,64,4,34.72,4.036,2541,4,2.5,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-01 04:01:14,东经,118.6919900,北纬,37.9704200,0,335,12,29.58,4.062,59,4,1.4,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-01 02:01:23,东经,118.6920200,北纬,37.9703800,0,20,9,32.35,4.094,34,6,1.1,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-06-01 00:00:22,东经,118.6920200,北纬,37.9703300,0,160,14,30.32,4.108,169,4,1.8,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-05-31 22:00:32,东经,118.6921200,北纬,37.9707800,0,211,73,30.12,4.122,141,6,1.6,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-05-31 20:01:08,东经,118.6919500,北纬,37.9703900,0,3,11,33.62,4.148,123,9,0.9,0.8,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-05-31 18:01:08,东经,118.6920800,北纬,37.9705200,0,82,12,39.14,4.163,168,5,1.7,0.9,B,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-05-31 16:01:06,东经,118.6920200,北纬,37.9704600,4.2,186,11,36.73,4.155,562,5,5,3.3,C,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-05-31 14:01:08,东经,118.6919800,北纬,37.9703600,0,312,4,41.43,4.09,2406,7,1,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-05-31 10:01:06,东经,118.6645800,北纬,37.9519000,0,331,20,33.96,4.034,2605,6,1,0.9,A,可用
H54M·G65巢·BJNN022·20190528不稳,032201756,2021-05-31 08:00:25,东经,118.6646300,北纬,37.9518700,0,143,11,33.26,4.037,2591,5,2.1,0.8,B,可用
