E,N,Season,ID,Resource,,,Row Labels,Count of Resource
12935806.84,3462850.526,wintering,212,GPS,,,,
12940787.28,3377729.734,wintering,213,GPS,,,,
12944808.14,3357745.153,wintering,214,GPS,,,,
12943751.72,3361788.979,wintering,215,GPS,,,,
12944015.54,3365352.03,wintering,216,GPS,,,,
12943975.13,3391605.261,wintering,217,GBIF,,,,
12946646.02,3337812.324,wintering,218,GPS,,,,
12949312.12,3336956.952,wintering,219,GPS,,,,
12947939.55,3339346.8,wintering,220,GPS,,,,
12948373.14,3343621.805,wintering,221,GBIF,,,,
12948370.36,3346298.336,wintering,222,GBIF,,,,
12947536.58,3350155.355,wintering,223,GPS,,,,
12949807.5,3352857.601,wintering,224,GPS,,,,
12949196.35,3360782.038,wintering,225,GPS,,,,
12948438.27,3362677.744,wintering,226,GPS,,,,
12948957.02,3404770.165,wintering,227,GPS,,,,
12949351.09,3405350.579,wintering,228,GPS,,,,
12949006,3525793.943,wintering,229,GPS,,,,
12951642.04,3334935.499,wintering,230,GPS,,,,
12951429.42,3335223.534,wintering,231,GPS,,,,
12951660.97,3338307.297,wintering,232,GPS,,,,
12950931.82,3340020.808,wintering,233,GPS,,,,
12950163.72,3354463.711,wintering,234,GPS,,,,
12950164.83,3360925.7,wintering,235,GPS,,,,
12950142.57,3364171.869,wintering,236,GPS,,,,
12951919.23,3366262.657,wintering,237,CBRC,,,,
12953284,3330930.301,wintering,238,GPS,,,,
12954271.41,3333307.647,wintering,239,GPS,,,,
12954061.01,3336995.024,wintering,240,GPS,,,,
12952845.4,3337583.881,wintering,241,GPS,,,,
12952912.2,3346997.716,wintering,242,GPS,,,,
12952798.65,3369080.149,wintering,243,GBIF,,,,
12953944.13,3400776.85,wintering,244,GPS,,,,
12955327.83,3327517.256,wintering,245,GPS,,,,
12956795.02,3331390.768,wintering,246,GPS,,,,
12957130.09,3333656.547,wintering,247,GPS,,,,
12955986.84,3340999.512,wintering,248,GPS,,,,
12956632.49,3343112.033,wintering,249,GPS,,,,
12955262.15,3346809.755,wintering,250,GPS,,,,
12957687.8,3327890.099,wintering,251,GPS,,,,
12957884.84,3339628.585,wintering,252,GPS,,,,
12961556.15,3323363.425,wintering,253,GPS,,,,
12960706.79,3398131.042,wintering,254,GPS,,,,
12962578.07,3377802.294,wintering,255,GPS,,,,
12963965.11,3402905.361,wintering,256,GPS,,,,
12963135.78,3411544.118,wintering,257,GPS,,,,
12964463.82,3414176.051,wintering,258,GPS,,,,
12966752.55,3385647.494,wintering,259,GPS,,,,
12967448.3,3405686.082,wintering,260,GPS,,,,
12965261.98,3416366.755,wintering,261,GPS,,,,
12965781.84,3479383.92,wintering,262,GPS,,,,
12965615.98,3480097.278,wintering,263,GPS,,,,
12969012.33,3377261.287,wintering,264,GPS,,,,
12968944.43,3377568.067,wintering,265,GPS,,,,
12967586.33,3387885.655,wintering,266,GPS,,,,
12967588.56,3479077.292,wintering,267,GPS,,,,
12968873.19,3480711.874,wintering,268,GPS,,,,
12969406.41,3484353.868,wintering,269,GPS,,,,
12972306.28,2682540.795,wintering,270,GPS,,,,
12971641.7,3378717.602,wintering,271,GPS,,,,
12971963.41,3392648.591,wintering,272,GPS,,,,
12970865.8,3397298.52,wintering,273,GPS,,,,
12970134.43,3402256.185,wintering,274,GPS,,,,
12971885.49,3404640.053,wintering,275,GPS,,,,
12971647.27,3405968.014,wintering,276,GPS,,,,
12970853.56,3484079.207,wintering,277,GPS,,,,
12974434.71,2676458.192,wintering,278,GPS,,,,
12974933.42,2680079.58,wintering,279,GPS,,,,
12972576.78,3378939.118,wintering,280,GPS,,,,
12974745.29,3391783.285,wintering,281,GPS,,,,
12974139.71,3395832.493,wintering,282,GPS,,,,
12972678.09,3401470.586,wintering,283,GPS,,,,
12975744.94,3351349.51,wintering,284,GPS,,,,
12976253.67,3392504.582,wintering,285,GPS,,,,
12975124.89,3403012.497,wintering,286,GPS,,,,
12976878.17,3409641.34,wintering,287,GPS,,,,
12977739.78,3363183.82,wintering,288,GPS,,,,
12977965.76,3375856.045,wintering,289,GPS,,,,
12977954.63,3392981.22,wintering,290,GPS,,,,
12979210.31,3395759.833,wintering,291,GPS,,,,
12980904.6,2656955.992,wintering,292,GPS,,,,
12980341.32,3376512.824,wintering,293,GPS,,,,
12981551.36,3397566.247,wintering,294,GPS,,,,
12982677.92,3397441.307,wintering,295,GPS,,,,
12985692.45,3367263.656,wintering,296,GPS,,,,
12986225.67,3367726.66,wintering,297,GPS,,,,
12985328.43,3376509.005,wintering,298,GPS,,,,
12985675.75,3378231.297,wintering,299,GPS,,,,
12987673.93,3366284.279,wintering,300,GPS,,,,
12988752.62,3369365.112,wintering,301,GPS,,,,
12989471.74,3392967.201,wintering,302,CBRC,,,,
12989930.38,3399524.647,wintering,303,GPS,,,,
12988214.95,3496749.283,wintering,304,GPS,,,,
12991064.73,3362432.342,wintering,305,GPS,,,,
12990883.27,3362516.261,wintering,306,GPS,,,,
12990002.74,3399613.904,wintering,307,GPS,,,,
12992378.3,3407745.219,wintering,308,GPS,,,,
12994343.08,3364188.401,wintering,309,GPS,,,,
12994928.63,3407632.94,wintering,310,GPS,,,,
12994928.63,3411099.984,wintering,311,GPS,,,,
12995609.9,3380906.197,wintering,312,GPS,,,,
12995477.43,3388558.324,wintering,313,GPS,,,,
12995112.3,3407950.64,wintering,314,GPS,,,,
12999676.4,3357663.806,wintering,315,GPS,,,,
13002387.03,3357325.713,wintering,316,GPS,,,,
13004986.34,3343029.506,wintering,317,GPS,,,,
13006322.18,3359840.008,wintering,318,GPS,,,,
13005930.33,3360282.41,wintering,319,GPS,,,,
13007433.14,3569364.643,wintering,320,GPS,,,,
13009249.88,3361327.455,wintering,321,GPS,,,,
13013259.61,3355237.611,wintering,322,GPS,,,,
13012659.59,3569701.887,wintering,323,GPS,,,,
13016527.95,2709676.84,wintering,324,GPS,,,,
13016955.41,2710336.693,wintering,325,GPS,,,,
13021133.23,3574475.967,wintering,326,GPS,,,,
13021729.91,3575682.052,wintering,327,GPS,,,,
13026453.19,3550943.642,wintering,328,GPS,,,,
13027709.99,3551707.474,wintering,329,GPS,,,,
13028529.3,3552532,wintering,330,GPS,,,,
13031654.04,3552667.491,wintering,331,GPS,,,,
13031689.66,3555865.493,wintering,332,GPS,,,,
13033806.96,3551279.103,wintering,333,GPS,,,,
13032896.36,3552932.024,wintering,334,GPS,,,,
13035074.89,3551802.956,wintering,335,GPS,,,,
13036738,3555123.35,wintering,336,GPS,,,,
13039207.07,3555999.729,wintering,337,GPS,,,,
13040941.42,3557171.771,wintering,338,GPS,,,,
13045816.1,3555509.259,wintering,339,GPS,,,,
13047074.01,3559356.088,wintering,340,GPS,,,,
13048235.08,3556676.093,wintering,341,GPS,,,,
13047698.52,3558837.085,wintering,342,GPS,,,,
13057550.29,3568936.962,wintering,343,GPS,,,,
13065786.82,3715498.722,wintering,344,GBIF,,,,
13075902.42,3714375.65,wintering,345,CBRC,,,,
13084205.74,3708965.963,wintering,346,GBIF,,,,
13089940.92,2738567.17,wintering,347,GPS,,,,
13087913.8,2740650.268,wintering,348,GPS,,,,
13090972.86,2736621.895,wintering,349,GPS,,,,
13090994.01,2740602.784,wintering,350,GPS,,,,
13096307.29,3718873.791,wintering,351,CBRC,,,,
13105973.16,2755266.498,wintering,352,GPS,,,,
13105898.57,2757745.506,wintering,353,GPS,,,,
13108825.16,2752878.052,wintering,354,GPS,,,,
13108706.05,2755448.084,wintering,355,GPS,,,,
13110028.53,2751687.62,wintering,356,GPS,,,,
13111772.9,2755775.918,wintering,357,GPS,,,,
13110540.6,2812622.273,wintering,358,GPS,,,,
13119042.07,2811747.712,wintering,359,GPS,,,,
13122479.61,2806827.854,wintering,360,GPS,,,,
13166449.7,2821639.883,wintering,361,CBRC,,,,
13169538.81,2805453.192,wintering,362,GBIF,,,,
13169503.19,2810541.755,wintering,363,GBIF,,,,
13170372.26,2810474.855,wintering,364,GBIF,,,,
13186607.43,2834708.303,wintering,365,CBRC,,,,
13210722.79,2848956.831,wintering,366,GBIF,,,,
13210853.93,2870035.209,wintering,367,GBIF,,,,
13245149.46,3788865.652,wintering,368,GBIF,,,,
13249710.89,3789791.109,wintering,369,GBIF,,,,
13252023.22,3795931.984,wintering,370,GBIF,,,,
13265237.95,2930953.82,wintering,371,GPS,,,,
13269093.61,4140848.592,wintering,372,GBIF,,,,
13268067.69,4145117.497,wintering,373,GPS,,,,
13268728.93,4151370.798,wintering,374,GPS,,,,
13277390.7,2940386.613,wintering,375,GPS,,,,
13279995.58,2943795.44,wintering,376,GPS,,,,
13280754.78,2945078.734,wintering,377,GPS,,,,
13291943.5,2941165.035,wintering,378,CBRC,,,,
13294322.4,2939139.498,wintering,379,GPS,,,,
13296617.8,4206075.746,wintering,380,GBIF,,,,
13297766.62,2940776.436,wintering,381,CBRC,,,,
13305957.51,2995281.59,wintering,382,CBRC,,,,
13307363.47,3080624.858,wintering,383,CBRC,,,,
13312540.94,2985889.006,wintering,384,CBRC,,,,
13317044.93,3001945.975,wintering,385,CBRC,,,,
13316033.04,3003331.005,wintering,386,CBRC,,,,
13316274.6,3053436.006,wintering,387,CBRC,,,,
13318614.53,3002732.626,wintering,388,CBRC,,,,
13331463.03,3534685.234,wintering,389,GBIF,,,,
13363754.03,2641903.68,wintering,390,GBIF,,,,
13367207.27,2637406.854,wintering,391,GBIF,,,,
13365170.57,3101861.787,wintering,392,GBIF,,,,
13368749.49,2650201.88,wintering,393,GBIF,,,,
13369874.93,2665354.73,wintering,394,GBIF,,,,
13371865.33,2693026.965,wintering,395,GBIF,,,,
13374774.55,2703320.684,wintering,396,GBIF,,,,
13375963,2632953.114,wintering,397,GBIF,,,,
13375674.68,2675229.336,wintering,398,GBIF,,,,
13375548.22,2684930.439,wintering,399,GBIF,,,,
13378184.93,2626068.363,wintering,400,GBIF,,,,
13378369.72,2715265.678,wintering,401,GBIF,,,,
13381812.84,2612764.607,wintering,402,GBIF,,,,
13381635.84,2675712.064,wintering,403,GBIF,,,,
13380986.85,2686137.104,wintering,404,GBIF,,,,
13380650.66,2696500.813,wintering,405,GBIF,,,,
13384841.28,2642256.781,wintering,406,GBIF,,,,
13382877.72,2656939.277,wintering,407,GBIF,,,,
13383076.31,2665941.866,wintering,408,GBIF,,,,
13383881.6,2727262.974,wintering,409,GBIF,,,,
13385980.64,4040797.802,wintering,410,GPS,,,,
13393683.95,4045869.143,wintering,411,GPS,,,,
13395966,2750819.162,wintering,412,GBIF,,,,
13396963.42,3692395.286,wintering,413,GBIF,,,,
13401493.57,2758759.769,wintering,414,GBIF,,,,
13405315.83,2571475.443,wintering,415,GBIF,,,,
13406061.12,2590579.859,wintering,416,GBIF,,,,
13406104.42,3984819.334,wintering,417,GBIF,,,,
13408457.16,2602011.442,wintering,418,GBIF,,,,
13407799.26,3993686.557,wintering,419,GPS,,,,
13410496.97,2568244.576,wintering,420,GBIF,,,,
13410948.49,4002849.203,wintering,421,GPS,,,,
13412813.09,2563419.861,wintering,422,GBIF,,,,
13419177.22,2789995.534,wintering,423,GBIF,,,,
13420654.43,3978977.603,wintering,424,GPS,,,,
13427618.58,3957818.032,wintering,425,GBIF,,,,
13431956.7,3941256.282,wintering,426,GPS,,,,
13435795,3212876.586,wintering,427,GPS,,,,
13436159.01,3934745.811,wintering,428,GPS,,,,
13438824,3942102.498,wintering,429,GPS,,,,
13456003.94,3238134.218,wintering,430,CBRC,,,,
13457894.7,3879800.089,wintering,431,GBIF,,,,
13460708.3,2854258.576,wintering,432,GBIF,,,,
