Lon,Lat,时间,source,
118.37091,39.05075,2021/6/10 2:01,GPS,
118.37082,39.05069,2021/6/10 0:00,GPS,
118.37066,39.05077,2021/6/9 22:00,GPS,
118.37332,39.04849,2021/6/9 20:02,GPS,
118.37364,39.04861,2021/6/9 16:03,GPS,
118.37347,39.049,2021/6/9 14:03,GPS,
118.37325,39.04901,2021/6/9 12:00,GPS,
118.37378,39.0479,2021/6/9 10:01,GPS,
118.3732,39.04863,2021/6/9 8:02,GPS,
118.37064,39.05056,2021/6/9 6:00,GPS,
118.37091,39.05076,2021/6/9 4:00,GPS,
118.37088,39.05067,2021/6/9 2:00,GPS,
118.37053,39.05075,2021/6/9 0:00,GPS,
118.37078,39.05062,2021/6/8 22:00,GPS,
118.37365,39.04939,2021/6/8 20:03,GPS,
118.37357,39.04868,2021/6/8 14:02,GPS,
118.37405,39.05015,2021/6/8 12:01,GPS,
118.37556,39.04913,2021/6/8 8:01,GPS,
118.37078,39.05069,2021/6/8 6:01,GPS,
118.37087,39.0509,2021/6/8 4:00,GPS,
118.37112,39.05125,2021/6/8 2:00,GPS,
118.37086,39.05092,2021/6/8 0:00,GPS,
118.37083,39.05098,2021/6/7 22:00,GPS,
118.37267,39.05032,2021/6/7 20:00,GPS,
118.37344,39.04855,2021/6/7 18:00,GPS,
118.37281,39.04952,2021/6/7 16:00,GPS,
118.3728,39.04974,2021/6/7 14:00,GPS,
118.37975,39.04535,2021/6/7 12:00,GPS,
118.38208,39.04729,2021/6/7 10:00,GPS,
118.37106,39.05349,2021/6/7 8:00,GPS,
118.37043,39.05758,2021/6/7 6:00,GPS,
118.36871,39.05034,2021/6/7 4:01,GPS,
118.36919,39.05025,2021/6/7 2:00,GPS,
118.369,39.05043,2021/6/7 0:02,GPS,
118.36894,39.05034,2021/6/6 22:01,GPS,
118.37299,39.04875,2021/6/6 16:01,GPS,
118.37328,39.04846,2021/6/6 14:01,GPS,
118.37338,39.0488,2021/6/6 10:01,GPS,
118.3707,39.04978,2021/6/6 6:01,GPS,
118.36856,39.05047,2021/6/6 4:00,GPS,
118.36871,39.05066,2021/6/6 2:00,GPS,
118.36878,39.05077,2021/6/6 0:00,GPS,
118.36892,39.05042,2021/6/5 22:01,GPS,
118.37341,39.04866,2021/6/5 20:01,GPS,
118.37347,39.04852,2021/6/5 18:00,GPS,
118.37346,39.04857,2021/6/5 16:02,GPS,
118.37357,39.04853,2021/6/5 14:00,GPS,
118.37357,39.04843,2021/6/5 12:02,GPS,
118.37364,39.04851,2021/6/5 8:02,GPS,
118.36945,39.05017,2021/6/5 6:00,GPS,
118.36855,39.05074,2021/6/5 4:00,GPS,
118.3687,39.05082,2021/6/5 2:00,GPS,
118.36832,39.05058,2021/6/5 0:01,GPS,
118.36839,39.05101,2021/6/4 22:00,GPS,
118.37356,39.04861,2021/6/4 20:02,GPS,
118.3736,39.04871,2021/6/4 10:02,GPS,
118.36947,39.04982,2021/6/4 6:00,GPS,
118.36868,39.05087,2021/6/4 4:00,GPS,
118.36863,39.05087,2021/6/4 2:00,GPS,
118.36874,39.05092,2021/6/4 0:01,GPS,
118.37109,39.05111,2021/6/3 22:00,GPS,
118.37366,39.04853,2021/6/3 20:01,GPS,
118.37337,39.04823,2021/6/3 10:01,GPS,
118.37357,39.04852,2021/6/3 8:01,GPS,
118.3753,39.04985,2021/6/3 6:01,GPS,
118.37521,39.0504,2021/6/3 4:02,GPS,
118.37555,39.05041,2021/6/3 2:00,GPS,
118.37563,39.05017,2021/6/3 0:01,GPS,
118.37363,39.04852,2021/6/2 18:01,GPS,
118.37351,39.04854,2021/6/2 14:00,GPS,
118.37351,39.04853,2021/6/2 12:01,GPS,
118.37353,39.04864,2021/6/2 10:02,GPS,
118.3736,39.04852,2021/6/2 8:01,GPS,
118.3756,39.05003,2021/6/2 6:01,GPS,
118.37523,39.05061,2021/6/2 4:00,GPS,
118.3756,39.05056,2021/6/2 2:01,GPS,
118.37562,39.05093,2021/6/2 0:01,GPS,
118.37557,39.05035,2021/6/1 22:01,GPS,
118.37365,39.04868,2021/6/1 12:02,GPS,
118.37409,39.04852,2021/6/1 10:02,GPS,
118.37395,39.04874,2021/6/1 8:00,GPS,
118.37524,39.05004,2021/6/1 6:00,GPS,
118.37542,39.05042,2021/6/1 0:02,GPS,
118.37592,39.05031,2021/5/31 22:01,GPS,
118.37533,39.05318,2021/5/31 6:01,GPS,
118.3753,39.05314,2021/5/31 4:00,GPS,
118.37514,39.05336,2021/5/31 2:00,GPS,
118.37536,39.05308,2021/5/31 0:01,GPS,
118.3756,39.05297,2021/5/30 22:03,GPS,
118.37672,39.05346,2021/5/30 14:02,GPS,
118.3772,39.0532,2021/5/30 10:02,GPS,
118.37781,39.05549,2021/5/30 2:00,GPS,
