Lon,Lat,时间,source,...5,X,Y
118.35534,39.05748,2021/6/18 2:01,GPS,NA,13175256.1814648,4729908.43698028
118.34184,39.0539,2021/6/17 22:00,GPS,NA,13173753.3683391,4729395.22851469
118.35564,39.05634,2021/6/17 20:03,GPS,NA,13175289.577312,4729745.01023197
118.35709,39.05531,2021/6/17 18:01,GPS,NA,13175450.9905737,4729597.35500014
118.3569,39.05529,2021/6/17 16:01,GPS,NA,13175429.8398704,4729594.48792957
118.35596,39.05593,2021/6/17 10:01,GPS,NA,13175325.1995491,4729686.23459039
118.35471,39.05901,2021/6/17 8:01,GPS,NA,13175186.0501856,4730127.77702633
118.35474,39.0589,2021/6/17 6:00,GPS,NA,13175189.3897703,4730112.00732196
118.35458,39.05886,2021/6/17 4:00,GPS,NA,13175171.5786518,4730106.2728901
118.35467,39.05877,2021/6/17 2:00,GPS,NA,13175181.5974059,4730093.37043029
118.35454,39.0589,2021/6/17 0:01,GPS,NA,13175167.1258721,4730112.00732196
118.35449,39.05857,2021/6/16 22:01,GPS,NA,13175161.5598976,4730064.69835626
118.36777,39.05096,2021/6/16 4:00,GPS,NA,13176639.8827353,4728973.78626979
118.36815,39.05094,2021/6/16 2:01,GPS,NA,13176682.1841418,4728970.91937582
118.36873,39.0505,2021/6/16 0:00,GPS,NA,13176746.7494465,4728907.84791395
118.36957,39.05024,2021/6/15 22:01,GPS,NA,13176840.2578188,4728870.57859845
118.37318,39.04814,2021/6/15 8:03,GPS,NA,13177242.1211805,4728569.56223309
118.37055,39.05076,2021/6/15 4:00,GPS,NA,13176949.3509197,4728945.11736665
118.3708,39.05062,2021/6/15 2:01,GPS,NA,13176977.1807924,4728925.04918277
118.37362,39.04822,2021/6/14 16:02,GPS,NA,13177291.1017565,4728581.02935922
118.37296,39.04839,2021/6/14 12:02,GPS,NA,13177217.6308925,4728605.39704537
118.37326,39.04821,2021/6/14 8:03,GPS,NA,13177251.0267398,4728579.59596774
118.37064,39.05048,2021/6/14 4:02,GPS,NA,13176959.3696739,4728904.98103866
118.37078,39.05061,2021/6/14 2:00,GPS,NA,13176974.9544026,4728923.61574258
118.37077,39.05047,2021/6/14 0:01,GPS,NA,13176973.8412077,4728903.54760131
118.3709,39.05053,2021/6/13 22:01,GPS,NA,13176988.3127415,4728912.14822842
118.37347,39.04842,2021/6/13 16:02,GPS,NA,13177274.4038328,4728609.69723137
118.37238,39.04903,2021/6/13 10:02,GPS,NA,13177153.0655879,4728697.13474279
118.37309,39.04815,2021/6/13 6:02,GPS,NA,13177232.1024263,4728570.99562315
118.37078,39.05074,2021/6/13 4:01,GPS,NA,13176974.9544026,4728942.25048081
118.37076,39.05071,2021/6/13 2:01,GPS,NA,13176972.7280128,4728937.95015356
118.37133,39.05071,2021/6/13 0:00,GPS,NA,13177036.1801225,4728937.95015356
118.37341,39.04868,2021/6/12 22:02,GPS,NA,13177267.7246634,4728646.96558652
118.37306,39.04828,2021/6/12 18:00,GPS,NA,13177228.7628416,4728589.62971234
118.37354,39.04855,2021/6/12 16:01,GPS,NA,13177282.1961972,4728628.3313918
118.37387,39.04863,2021/6/12 14:03,GPS,NA,13177318.9316292,4728639.79858449
118.37096,39.05076,2021/6/12 4:01,GPS,NA,13176994.991911,4728945.11736665
118.37075,39.05059,2021/6/12 2:02,GPS,NA,13176971.6148179,4728920.74886282
118.37076,39.05056,2021/6/12 0:01,GPS,NA,13176972.7280128,4728916.44854471
118.37368,39.04855,2021/6/11 18:01,GPS,NA,13177297.7809259,4728628.3313918
118.37341,39.04857,2021/6/11 16:03,GPS,NA,13177267.7246634,4728631.19818876
118.37348,39.04794,2021/6/11 8:01,GPS,NA,13177275.5170278,4728540.89447458
118.37082,39.05072,2021/6/11 6:00,GPS,NA,13176979.4071822,4728939.38359577
118.3708,39.05067,2021/6/11 4:00,GPS,NA,13176977.1807924,4728932.21638673
118.37096,39.05044,2021/6/11 2:00,GPS,NA,13176994.991911,4728899.2472905
118.37083,39.05068,2021/6/11 0:00,GPS,NA,13176980.5203771,4728933.64982813
118.37077,39.05066,2021/6/10 22:00,GPS,NA,13176973.8412077,4728930.78294553
118.37357,39.04868,2021/6/10 16:01,GPS,NA,13177285.5357819,4728646.96558652
118.37283,39.04816,2021/6/10 14:03,GPS,NA,13177203.1593587,4728572.4290134
118.37071,39.0507,2021/6/10 6:00,GPS,NA,13176967.1620383,4728936.51671155
118.37066,39.05075,2021/6/10 4:00,GPS,NA,13176961.5960637,4728943.68392363
118.37091,39.05075,2021/6/10 2:01,GPS,NA,13176989.4259364,4728943.68392363
118.37082,39.05069,2021/6/10 0:00,GPS,NA,13176979.4071822,4728935.08326974
