Lat,Lon,source
23.56256,120.16519,gbif
23.56256,120.16519,gbif
23.56256,120.16519,gbif
23.56256,120.16519,gbif
23.86277,120.27415,gbif
24.023167,120.37142,gbif
23.078522,120.18233,gbif
23.5414,120.150665,gbif
24.02748,120.37864,gbif
23.500423,120.13579,gbif
22.709536,121.08962,gbif
22.45974,114.03684,gbif
23.500423,120.13579,gbif
23.372488,120.16281,gbif
22.524765,114.01123,gbif
24.470709,118.31235,gbif
23.340738,120.16125,gbif
24.4304,118.24637,gbif
23.24809,120.18856,gbif
23.500423,120.13579,gbif
23.358416,120.16768,gbif
23.035791,120.09876,gbif
22.522419,114.00032,gbif
24.82462,121.7966,gbif
23.046816,120.105,gbif
22.959015,120.18379,gbif
23.18072,120.1239,gbif
23.32382,120.12027,gbif
22.894787,120.193,gbif
23.32689,120.170685,gbif
31.126602,104.399925,gbif
24.476171,118.30999,gbif
22.443796,120.49099,gbif
23.358416,120.16768,gbif
22.513021,114.06573,gbif
24.46801,118.30366,gbif
23.348492,120.188255,gbif
23.414711,120.1714,gbif
23.147072,120.10716,gbif
23.334074,120.16891,gbif
23.081715,120.048645,gbif
23.336628,120.16603,gbif
23.058664,120.103226,gbif
23.097464,120.096115,gbif
23.785261,120.229454,gbif
23.29662,120.156204,gbif
24.050608,120.395096,gbif
24.467928,118.31049,gbif
22.49418,114.03655,gbif
22.884901,120.19819,gbif
24.02748,120.37864,gbif
30.349842,103.864624,gbif
23.016943,120.137375,gbif
23.012316,120.16288,gbif
23.575043,120.16927,gbif
23.32689,120.170685,gbif
23.187746,120.11073,gbif
24.420864,118.22887,gbif
22.439035,120.4894,gbif
23.372488,120.16281,gbif
23.28384,120.12036,gbif
23.53657,120.18801,gbif
23.53657,120.18801,gbif
23.333366,120.182526,gbif
23.586557,120.156136,gbif
22.508831,114.113335,gbif
23.334074,120.16891,gbif
23.358416,120.16768,gbif
23.86277,120.27415,gbif
23.500423,120.13579,gbif
23.500423,120.13579,gbif
23.26106,120.12633,gbif
23.133095,120.09814,gbif
23.392954,120.16708,gbif
23.32563,120.1285,gbif
24.015186,120.37167,gbif
22.751642,120.45022,gbif
23.133095,120.09814,gbif
23.53657,120.18801,gbif
23.500423,120.13579,gbif
22.513021,114.06573,gbif
22.49418,114.03655,gbif
23.874828,120.288025,gbif
23.253494,120.10879,gbif
24.46801,118.30366,gbif
23.081696,120.07464,gbif
23.04495,120.1105,gbif
24.465052,118.305145,gbif
30.75245,114.15762,gbif
23.381386,120.20162,gbif
22.49418,114.03655,gbif
23.244242,120.11318,gbif
